Name,BO_Year,BOMojoFilmURL,Duration
Superman,1979,https://www.boxofficemojo.com/release/rl4050814465/,2 hr 23 min
The Amityville Horror,1979,https://www.boxofficemojo.com/release/rl2202240513/,1 hr 57 min
Rocky II,1979,https://www.boxofficemojo.com/release/rl2993456641/,1 hr 59 min
Star Trek: The Motion Picture,1979,https://www.boxofficemojo.com/release/rl2977138177/,2 hr 12 min
Alien,1979,https://www.boxofficemojo.com/release/rl3443557889/,1 hr 57 min
Apocalypse Now,1979,https://www.boxofficemojo.com/release/rl1816299009/,2 hr 27 min
10,1979,https://www.boxofficemojo.com/release/rl960595457/,2 hr 2 min
The Jerk,1979,https://www.boxofficemojo.com/release/rl878544385/,1 hr 34 min
Moonraker,1979,https://www.boxofficemojo.com/release/rl1516602881/,2 hr 6 min
Meatballs,1979,https://www.boxofficemojo.com/release/rl3479406081/,1 hr 34 min
Escape from Alcatraz,1979,https://www.boxofficemojo.com/release/rl3461449217/,1 hr 52 min
Manhattan,1979,https://www.boxofficemojo.com/release/rl1046709761/,1 hr 36 min
All That Jazz,1979,https://www.boxofficemojo.com/release/rl390301185/,2 hr 3 min
1941,1979,https://www.boxofficemojo.com/release/rl2034337281/,1 hr 58 min
The Champ,1979,https://www.boxofficemojo.com/release/rl3242755585/,2 hr 1 min
The Rose,1979,https://www.boxofficemojo.com/release/rl4050421249/,2 hr 5 min
The Warriors,1979,https://www.boxofficemojo.com/release/rl410551809/,1 hr 32 min
Norma Rae,1979,https://www.boxofficemojo.com/release/rl2422703617/,1 hr 54 min
National Lampoon's Animal House,1979,https://www.boxofficemojo.com/release/rl977438209/,1 hr 49 min
La Cage aux Folles,1979,https://www.boxofficemojo.com/release/rl3327952385/,1 hr 37 min
Star Wars: Episode V - The Empire Strikes Back,1980,https://www.boxofficemojo.com/release/rl2775811585/,2 hr 4 min
9 to 5,1980,https://www.boxofficemojo.com/release/rl876643841/,1 hr 49 min
Stir Crazy,1980,https://www.boxofficemojo.com/release/rl3312682497/,1 hr 51 min
Kramer vs. Kramer,1980,https://www.boxofficemojo.com/release/rl3999041025/,1 hr 45 min
Any Which Way You Can,1980,https://www.boxofficemojo.com/release/rl1916962305/,1 hr 56 min
Private Benjamin,1980,https://www.boxofficemojo.com/release/rl3513484801/,1 hr 49 min
Coal Miner's Daughter,1980,https://www.boxofficemojo.com/release/rl1883932161/,2 hr 4 min
Smokey and the Bandit II,1980,https://www.boxofficemojo.com/release/rl460359169/,1 hr 40 min
The Blues Brothers,1980,https://www.boxofficemojo.com/release/rl289834497/,2 hr 13 min
Ordinary People,1980,https://www.boxofficemojo.com/release/rl3378939393/,2 hr 4 min
Popeye,1980,https://www.boxofficemojo.com/release/rl2003535361/,1 hr 54 min
The Shining,1980,https://www.boxofficemojo.com/release/rl3312354817/,2 hr 26 min
Cheech and Chong's Next Movie,1980,https://www.boxofficemojo.com/release/rl2018215425/,1 hr 39 min
Caddyshack,1980,https://www.boxofficemojo.com/release/rl3326707201/,1 hr 38 min
Friday the 13th,1980,https://www.boxofficemojo.com/release/rl3344074241/,1 hr 35 min
Brubaker,1980,https://www.boxofficemojo.com/release/rl3125380609/,2 hr 11 min
The Jazz Singer,1980,https://www.boxofficemojo.com/release/rl3411707393/,1 hr 55 min
Flash Gordon,1980,https://www.boxofficemojo.com/release/rl3461580289/,1 hr 51 min
Bronco Billy,1980,https://www.boxofficemojo.com/release/rl1497990657/,1 hr 56 min
Raging Bull,1980,https://www.boxofficemojo.com/release/rl4201285121/,2 hr 9 min
Superman II,1981,https://www.boxofficemojo.com/release/rl4084368897/,2 hr 7 min
Stripes,1981,https://www.boxofficemojo.com/release/rl1685227009/,1 hr 46 min
The Cannonball Run,1981,https://www.boxofficemojo.com/release/rl4752897/,1 hr 35 min
For Your Eyes Only,1981,https://www.boxofficemojo.com/release/rl4135224833/,2 hr 7 min
The Four Seasons,1981,https://www.boxofficemojo.com/release/rl2572322305/,1 hr 47 min
Excalibur,1981,https://www.boxofficemojo.com/release/rl1783662081/,2 hr 20 min
History of the World: Part I,1981,https://www.boxofficemojo.com/release/rl2572781057/,1 hr 32 min
Bustin' Loose,1981,https://www.boxofficemojo.com/release/rl3846800897/,1 hr 34 min
The Great Muppet Caper,1981,https://www.boxofficemojo.com/release/rl3412428289/,1 hr 37 min
Endless Love,1981,https://www.boxofficemojo.com/release/rl2219935233/,1 hr 56 min
An American Werewolf in London,1981,https://www.boxofficemojo.com/release/rl2336458241/,1 hr 37 min
Halloween II,1981,https://www.boxofficemojo.com/release/rl3310847489/,1 hr 32 min
Body Heat,1981,https://www.boxofficemojo.com/release/rl1749452289/,1 hr 53 min
Raiders of the Lost Ark,1981,https://www.boxofficemojo.com/release/rl4083844609/,1 hr 55 min
Friday the 13th Part 2,1981,https://www.boxofficemojo.com/release/rl3478291969/,1 hr 27 min
The Final Conflict,1981,https://www.boxofficemojo.com/release/rl1600554497/,1 hr 48 min
The Incredible Shrinking Woman,1981,https://www.boxofficemojo.com/release/rl2589689345/,1 hr 28 min
Under the Rainbow,1981,https://www.boxofficemojo.com/release/rl2759230977/,1 hr 38 min
Outland,1981,https://www.boxofficemojo.com/release/rl57247233/,1 hr 49 min
Continental Divide,1981,https://www.boxofficemojo.com/release/rl3611985409/,1 hr 43 min
E.T. the Extra-Terrestrial,1982,https://www.boxofficemojo.com/release/rl995132929/,1 hr 55 min
Raiders of the Lost Ark,1982,https://www.boxofficemojo.com/release/rl4083844609/,1 hr 55 min
Rocky III,1982,https://www.boxofficemojo.com/release/rl3010233857/,1 hr 39 min
On Golden Pond,1982,https://www.boxofficemojo.com/release/rl2320795137/,1 hr 49 min
An Officer and a Gentleman,1982,https://www.boxofficemojo.com/release/rl423790081/,2 hr 4 min
Porky's,1982,https://www.boxofficemojo.com/release/rl1802208769/,1 hr 34 min
Arthur,1982,https://www.boxofficemojo.com/release/rl2621605377/,1 hr 37 min
Star Trek II: The Wrath of Khan,1982,https://www.boxofficemojo.com/release/rl2993915393/,1 hr 53 min
Poltergeist,1982,https://www.boxofficemojo.com/release/rl107709953/,1 hr 54 min
The Best Little Whorehouse in Texas,1982,https://www.boxofficemojo.com/release/rl2370078209/,1 hr 54 min
Chariots of Fire,1982,https://www.boxofficemojo.com/release/rl508265985/,2 hr 5 min
Annie,1982,https://www.boxofficemojo.com/release/rl625116673/,2 hr 6 min
First Blood,1982,https://www.boxofficemojo.com/release/rl2270397953/,1 hr 33 min
Firefox,1982,https://www.boxofficemojo.com/release/rl2505278977/,2 hr 16 min
Conan the Barbarian,1982,https://www.boxofficemojo.com/release/rl4165633537/,2 hr 9 min
The Sword and the Sorcerer,1982,https://www.boxofficemojo.com/release/rl393577985/,1 hr 40 min
Absence of Malice,1982,https://www.boxofficemojo.com/release/rl356550145/,1 hr 56 min
Reds,1982,https://www.boxofficemojo.com/release/rl1399686657/,3 hr 15 min
Richard Pryor: Live on the Sunset Strip,1982,https://www.boxofficemojo.com/release/rl1013745153/,1 hr 22 min
Friday the 13th Part III,1982,https://www.boxofficemojo.com/release/rl3226633729/,1 hr 35 min
Star Wars: Episode VI - Return of the Jedi,1983,https://www.boxofficemojo.com/release/rl2792588801/,2 hr 11 min
Tootsie,1983,https://www.boxofficemojo.com/release/rl645367297/,1 hr 56 min
Flashdance,1983,https://www.boxofficemojo.com/release/rl3411248641/,1 hr 35 min
Trading Places,1983,https://www.boxofficemojo.com/release/rl1081574913/,1 hr 56 min
WarGames,1983,https://www.boxofficemojo.com/release/rl846759425/,1 hr 54 min
Octopussy,1983,https://www.boxofficemojo.com/release/rl275154433/,2 hr 11 min
Staying Alive,1983,https://www.boxofficemojo.com/release/rl2389935617/,1 hr 33 min
Risky Business,1983,https://www.boxofficemojo.com/release/rl40666625/,1 hr 39 min
Mr. Mom,1983,https://www.boxofficemojo.com/release/rl2187691521/,1 hr 31 min
National Lampoon's Vacation,1983,https://www.boxofficemojo.com/release/rl561612289/,1 hr 38 min
Superman III,1983,https://www.boxofficemojo.com/release/rl4285695489/,2 hr 5 min
48 Hrs.,1983,https://www.boxofficemojo.com/release/rl4030825985/,1 hr 36 min
Never Say Never Again,1983,https://www.boxofficemojo.com/release/rl3496248833/,2 hr 14 min
Gandhi,1983,https://www.boxofficemojo.com/release/rl3797255681/,3 hr 11 min
Jaws 3-D,1983,https://www.boxofficemojo.com/release/rl3596256769/,1 hr 39 min
E.T. the Extra-Terrestrial,1983,https://www.boxofficemojo.com/release/rl995132929/,1 hr 55 min
Blue Thunder,1983,https://www.boxofficemojo.com/release/rl373720577/,1 hr 49 min
The Verdict,1983,https://www.boxofficemojo.com/release/rl1870235137/,2 hr 9 min
The Big Chill,1983,https://www.boxofficemojo.com/release/rl407340545/,1 hr 45 min
Sudden Impact,1983,https://www.boxofficemojo.com/release/rl3111290369/,1 hr 57 min
Ghostbusters,1984,https://www.boxofficemojo.com/release/rl3696592385/,1 hr 45 min
Indiana Jones and the Temple of Doom,1984,https://www.boxofficemojo.com/release/rl2455471617/,1 hr 58 min
Gremlins,1984,https://www.boxofficemojo.com/release/rl3126298113/,1 hr 46 min
The Karate Kid,1984,https://www.boxofficemojo.com/release/rl3378349569/,2 hr 6 min
Police Academy,1984,https://www.boxofficemojo.com/release/rl158041601/,1 hr 36 min
Footloose,1984,https://www.boxofficemojo.com/release/rl2001896961/,1 hr 47 min
Beverly Hills Cop,1984,https://www.boxofficemojo.com/release/rl3880027649/,1 hr 45 min
Star Trek III: The Search for Spock,1984,https://www.boxofficemojo.com/release/rl3010692609/,1 hr 45 min
Terms of Endearment,1984,https://www.boxofficemojo.com/release/rl3245704705/,2 hr 12 min
Romancing the Stone,1984,https://www.boxofficemojo.com/release/rl2792130049/,1 hr 46 min
Splash,1984,https://www.boxofficemojo.com/release/rl494110209/,1 hr 51 min
Purple Rain,1984,https://www.boxofficemojo.com/release/rl1533707777/,1 hr 51 min
Tightrope,1984,https://www.boxofficemojo.com/release/rl2155120129/,1 hr 54 min
The Natural,1984,https://www.boxofficemojo.com/release/rl2388952577/,2 hr 18 min
Greystoke,1984,https://www.boxofficemojo.com/release/rl3210184193/,2 hr 23 min
Revenge of the Nerds,1984,https://www.boxofficemojo.com/release/rl3563947521/,1 hr 30 min
Breakin',1984,https://www.boxofficemojo.com/release/rl1028228609/,1 hr 30 min
Bachelor Party,1984,https://www.boxofficemojo.com/release/rl3628434945/,1 hr 45 min
Red Dawn,1984,https://www.boxofficemojo.com/release/rl1768785409/,1 hr 54 min
All of Me,1984,https://www.boxofficemojo.com/release/rl457410049/,1 hr 33 min
Back to the Future,1985,https://www.boxofficemojo.com/release/rl2974385665/,1 hr 56 min
Beverly Hills Cop,1985,https://www.boxofficemojo.com/release/rl3880027649/,1 hr 45 min
Rambo: First Blood Part II,1985,https://www.boxofficemojo.com/release/rl3697968641/,1 hr 36 min
Rocky IV,1985,https://www.boxofficemojo.com/release/rl3043788289/,1 hr 31 min
Cocoon,1985,https://www.boxofficemojo.com/release/rl1615496705/,1 hr 57 min
Witness,1985,https://www.boxofficemojo.com/release/rl4017849857/,1 hr 52 min
The Goonies,1985,https://www.boxofficemojo.com/release/rl3243542017/,1 hr 54 min
Police Academy 2: Their First Assignment,1985,https://www.boxofficemojo.com/release/rl493585921/,1 hr 27 min
Fletch,1985,https://www.boxofficemojo.com/release/rl978486785/,1 hr 38 min
A View to a Kill,1985,https://www.boxofficemojo.com/release/rl1333364225/,2 hr 11 min
National Lampoon's European Vacation,1985,https://www.boxofficemojo.com/release/rl709920257/,1 hr 35 min
Mask,1985,https://www.boxofficemojo.com/release/rl2808317441/,2 hr
The Breakfast Club,1985,https://www.boxofficemojo.com/release/rl3326510593/,1 hr 37 min
Pale Rider,1985,https://www.boxofficemojo.com/release/rl1147766273/,1 hr 55 min
Pee-wee's Big Adventure,1985,https://www.boxofficemojo.com/release/rl644384257/,1 hr 31 min
Brewster's Millions,1985,https://www.boxofficemojo.com/release/rl575243777/,1 hr 42 min
E.T. the Extra-Terrestrial,1985,https://www.boxofficemojo.com/release/rl1028687361/,1 hr 55 min
Jagged Edge,1985,https://www.boxofficemojo.com/release/rl4049241601/,1 hr 48 min
Mad Max Beyond Thunderdome,1985,https://www.boxofficemojo.com/release/rl2824898049/,1 hr 47 min
Spies Like Us,1985,https://www.boxofficemojo.com/release/rl745768449/,1 hr 42 min
Top Gun,1986,https://www.boxofficemojo.com/release/rl444040705/,1 hr 50 min
Crocodile Dundee,1986,https://www.boxofficemojo.com/release/rl3108865537/,1 hr 37 min
The Karate Kid Part II,1986,https://www.boxofficemojo.com/release/rl3395126785/,1 hr 53 min
Back to School,1986,https://www.boxofficemojo.com/release/rl1984267777/,1 hr 36 min
Aliens,1986,https://www.boxofficemojo.com/release/rl3309340161/,2 hr 17 min
The Color Purple,1986,https://www.boxofficemojo.com/release/rl71992833/,2 hr 34 min
Star Trek IV: The Voyage Home,1986,https://www.boxofficemojo.com/release/rl3027469825/,1 hr 59 min
Ruthless People,1986,https://www.boxofficemojo.com/release/rl493848065/,1 hr 33 min
Out of Africa,1986,https://www.boxofficemojo.com/release/rl107578881/,2 hr 41 min
Ferris Bueller's Day Off,1986,https://www.boxofficemojo.com/release/rl1767081473/,1 hr 43 min
Down and Out in Beverly Hills,1986,https://www.boxofficemojo.com/release/rl1917748737/,1 hr 43 min
The Color of Money,1986,https://www.boxofficemojo.com/release/rl3192555009/,1 hr 59 min
Stand by Me,1986,https://www.boxofficemojo.com/release/rl1534297601/,1 hr 29 min
Legal Eagles,1986,https://www.boxofficemojo.com/release/rl928941569/,1 hr 56 min
Cobra,1986,https://www.boxofficemojo.com/release/rl1934263809/,1 hr 27 min
The Jewel of the Nile,1986,https://www.boxofficemojo.com/release/rl408782337/,1 hr 46 min
Police Academy 3: Back in Training,1986,https://www.boxofficemojo.com/release/rl174818817/,1 hr 23 min
The Golden Child,1986,https://www.boxofficemojo.com/release/rl2555676161/,1 hr 34 min
Peggy Sue Got Married,1986,https://www.boxofficemojo.com/release/rl409503233/,1 hr 43 min
Poltergeist II: The Other Side,1986,https://www.boxofficemojo.com/release/rl124487169/,1 hr 31 min
Beverly Hills Cop II,1987,https://www.boxofficemojo.com/release/rl3712255489/,1 hr 40 min
Platoon,1987,https://www.boxofficemojo.com/release/rl3446179329/,2 hr
Fatal Attraction,1987,https://www.boxofficemojo.com/release/rl794002945/,1 hr 59 min
The Untouchables,1987,https://www.boxofficemojo.com/release/rl3447096833/,1 hr 59 min
Three Men and a Baby,1987,https://www.boxofficemojo.com/release/rl3061089793/,1 hr 42 min
The Secret of My Success,1987,https://www.boxofficemojo.com/release/rl510559745/,1 hr 51 min
Stakeout,1987,https://www.boxofficemojo.com/release/rl1735624193/,1 hr 57 min
Lethal Weapon,1987,https://www.boxofficemojo.com/release/rl1667139073/,1 hr 49 min
The Witches of Eastwick,1987,https://www.boxofficemojo.com/release/rl4152067585/,1 hr 58 min
Predator,1987,https://www.boxofficemojo.com/release/rl2909505025/,1 hr 47 min
Dragnet,1987,https://www.boxofficemojo.com/release/rl1397655041/,1 hr 46 min
La Bamba,1987,https://www.boxofficemojo.com/release/rl3462170113/,1 hr 48 min
Crocodile Dundee,1987,https://www.boxofficemojo.com/release/rl3108865537/,1 hr 37 min
RoboCop,1987,https://www.boxofficemojo.com/release/rl1366066689/,1 hr 42 min
Outrageous Fortune,1987,https://www.boxofficemojo.com/release/rl1902740993/,1 hr 39 min
Dirty Dancing,1987,https://www.boxofficemojo.com/release/rl2505016833/,1 hr 40 min
The Living Daylights,1987,https://www.boxofficemojo.com/release/rl643925505/,2 hr 10 min
Snow White and the Seven Dwarfs,1987,https://www.boxofficemojo.com/release/rl1919976961/,1 hr 23 min
Full Metal Jacket,1987,https://www.boxofficemojo.com/release/rl39159297/,1 hr 56 min
A Nightmare on Elm Street 3: Dream Warriors,1987,https://www.boxofficemojo.com/release/rl3159459329/,1 hr 36 min
Who Framed Roger Rabbit,1988,https://www.boxofficemojo.com/release/rl1987806721/,1 hr 44 min
Coming to America,1988,https://www.boxofficemojo.com/release/rl3058337281/,1 hr 56 min
"Good Morning, Vietnam",1988,https://www.boxofficemojo.com/release/rl3713304065/,2 hr 1 min
Big,1988,https://www.boxofficemojo.com/release/rl692553217/,1 hr 44 min
Crocodile Dundee II,1988,https://www.boxofficemojo.com/release/rl3863905793/,1 hr 48 min
Three Men and a Baby,1988,https://www.boxofficemojo.com/release/rl3061089793/,1 hr 42 min
Die Hard,1988,https://www.boxofficemojo.com/release/rl2991556097/,2 hr 12 min
Moonstruck,1988,https://www.boxofficemojo.com/release/rl1550157313/,1 hr 42 min
Cocktail,1988,https://www.boxofficemojo.com/release/rl1800046081/,1 hr 44 min
Beetlejuice,1988,https://www.boxofficemojo.com/release/rl1849984513/,1 hr 32 min
A Fish Called Wanda,1988,https://www.boxofficemojo.com/release/rl3948119553/,1 hr 48 min
Willow,1988,https://www.boxofficemojo.com/release/rl2910553601/,2 hr 6 min
Rambo III,1988,https://www.boxofficemojo.com/release/rl3714745857/,1 hr 42 min
Scrooged,1988,https://www.boxofficemojo.com/release/rl3245311489/,1 hr 41 min
Bull Durham,1988,https://www.boxofficemojo.com/release/rl2286519809/,1 hr 48 min
Twins,1988,https://www.boxofficemojo.com/release/rl2021033473/,1 hr 47 min
A Nightmare on Elm Street 4: The Dream Master,1988,https://www.boxofficemojo.com/release/rl3176236545/,1 hr 33 min
Colors,1988,https://www.boxofficemojo.com/release/rl2991228417/,2 hr
Young Guns,1988,https://www.boxofficemojo.com/release/rl4252665345/,1 hr 47 min
Biloxi Blues,1988,https://www.boxofficemojo.com/release/rl1397196289/,1 hr 46 min
Batman,1989,https://www.boxofficemojo.com/release/rl3695543809/,2 hr 6 min
Indiana Jones and the Last Crusade,1989,https://www.boxofficemojo.com/release/rl2539357697/,2 hr 7 min
Lethal Weapon 2,1989,https://www.boxofficemojo.com/release/rl1868465665/,1 hr 54 min
Rain Man,1989,https://www.boxofficemojo.com/release/rl3999958529/,2 hr 13 min
"Honey, I Shrunk the Kids",1989,https://www.boxofficemojo.com/release/rl978880001/,1 hr 33 min
Look Who's Talking,1989,https://www.boxofficemojo.com/release/rl2992735745/,1 hr 33 min
Ghostbusters II,1989,https://www.boxofficemojo.com/release/rl3629483521/,1 hr 48 min
Dead Poets Society,1989,https://www.boxofficemojo.com/release/rl2605483521/,2 hr 8 min
Parenthood,1989,https://www.boxofficemojo.com/release/rl2221508097/,2 hr 4 min
Back to the Future Part II,1989,https://www.boxofficemojo.com/release/rl2991162881/,1 hr 48 min
When Harry Met Sally...,1989,https://www.boxofficemojo.com/release/rl1196852737/,1 hr 35 min
Turner & Hooch,1989,https://www.boxofficemojo.com/release/rl594970113/,1 hr 37 min
Uncle Buck,1989,https://www.boxofficemojo.com/release/rl3027666433/,1 hr 40 min
Field of Dreams,1989,https://www.boxofficemojo.com/release/rl1515423233/,1 hr 47 min
Twins,1989,https://www.boxofficemojo.com/release/rl2021033473/,1 hr 47 min
Sea of Love,1989,https://www.boxofficemojo.com/release/rl1030653441/,1 hr 53 min
Pet Sematary,1989,https://www.boxofficemojo.com/release/rl1449690625/,1 hr 43 min
The Abyss,1989,https://www.boxofficemojo.com/release/rl205555201/,2 hr 51 min
Harlem Nights,1989,https://www.boxofficemojo.com/release/rl1230407169/,1 hr 56 min
National Lampoon's Christmas Vacation,1989,https://www.boxofficemojo.com/release/rl2454423041/,1 hr 37 min
Ghost,1990,https://www.boxofficemojo.com/release/rl3864364545/,2 hr 7 min
Pretty Woman,1990,https://www.boxofficemojo.com/release/rl2439742977/,1 hr 59 min
Home Alone,1990,https://www.boxofficemojo.com/release/rl3629745665/,1 hr 43 min
Teenage Mutant Ninja Turtles,1990,https://www.boxofficemojo.com/release/rl4235560449/,1 hr 33 min
The Hunt for Red October,1990,https://www.boxofficemojo.com/release/rl4015556097/,2 hr 15 min
Total Recall,1990,https://www.boxofficemojo.com/release/rl74941953/,1 hr 53 min
Die Hard 2,1990,https://www.boxofficemojo.com/release/rl1380943361/,2 hr 4 min
Driving Miss Daisy,1990,https://www.boxofficemojo.com/release/rl2790163969/,1 hr 39 min
Dick Tracy,1990,https://www.boxofficemojo.com/release/rl3209659905/,1 hr 45 min
Back to the Future Part III,1990,https://www.boxofficemojo.com/release/rl3007940097/,1 hr 58 min
Presumed Innocent,1990,https://www.boxofficemojo.com/release/rl2775287297/,2 hr 7 min
Days of Thunder,1990,https://www.boxofficemojo.com/release/rl1246529025/,1 hr 47 min
Another 48 Hrs.,1990,https://www.boxofficemojo.com/release/rl507676161/,1 hr 33 min
Bird on a Wire,1990,https://www.boxofficemojo.com/release/rl1330087425/,1 hr 50 min
Born on the Fourth of July,1990,https://www.boxofficemojo.com/release/rl2823194113/,2 hr 25 min
Flatliners,1990,https://www.boxofficemojo.com/release/rl3260253697/,1 hr 55 min
Dances with Wolves,1990,https://www.boxofficemojo.com/release/rl944539137/,3 hr 1 min
Problem Child,1990,https://www.boxofficemojo.com/release/rl3228272129/,1 hr 21 min
Arachnophobia,1990,https://www.boxofficemojo.com/release/rl1229096449/,1 hr 49 min
Three Men and a Little Lady,1990,https://www.boxofficemojo.com/release/rl2436990465/,1 hr 44 min
Terminator 2: Judgment Day,1991,https://www.boxofficemojo.com/release/rl3396699649/,2 hr 17 min
Robin Hood: Prince of Thieves,1991,https://www.boxofficemojo.com/release/rl1567393281/,2 hr 23 min
Home Alone,1991,https://www.boxofficemojo.com/release/rl3629745665/,1 hr 43 min
The Silence of the Lambs,1991,https://www.boxofficemojo.com/release/rl1500612097/,1 hr 58 min
City Slickers,1991,https://www.boxofficemojo.com/release/rl3393947137/,1 hr 53 min
Dances with Wolves,1991,https://www.boxofficemojo.com/release/rl944539137/,3 hr 1 min
Sleeping with the Enemy,1991,https://www.boxofficemojo.com/release/rl3429991937/,1 hr 39 min
The Addams Family,1991,https://www.boxofficemojo.com/release/rl1749059073/,1 hr 39 min
The Naked Gun 2Â½: The Smell of Fear,1991,https://www.boxofficemojo.com/release/rl2976155137/,1 hr 25 min
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,https://www.boxofficemojo.com/release/rl3497297409/,1 hr 28 min
Backdraft,1991,https://www.boxofficemojo.com/release/rl1933936129/,2 hr 17 min
Hot Shots!,1991,https://www.boxofficemojo.com/release/rl2019067393/,1 hr 24 min
Beauty and the Beast,1991,https://www.boxofficemojo.com/release/rl4490753/,1 hr 24 min
Hook,1991,https://www.boxofficemojo.com/release/rl911771137/,2 hr 22 min
What About Bob?,1991,https://www.boxofficemojo.com/release/rl2222491137/,1 hr 39 min
Kindergarten Cop,1991,https://www.boxofficemojo.com/release/rl1516013057/,1 hr 51 min
One Hundred and One Dalmatians,1991,https://www.boxofficemojo.com/release/rl859932161/,1 hr 19 min
Cape Fear,1991,https://www.boxofficemojo.com/release/rl2051573249/,2 hr 8 min
Boyz n the Hood,1991,https://www.boxofficemojo.com/release/rl3779495425/,1 hr 52 min
Doc Hollywood,1991,https://www.boxofficemojo.com/release/rl3494872577/,1 hr 44 min
Batman Returns,1992,https://www.boxofficemojo.com/release/rl3544548865/,2 hr 6 min
Lethal Weapon 3,1992,https://www.boxofficemojo.com/release/rl1616807425/,1 hr 58 min
Sister Act,1992,https://www.boxofficemojo.com/release/rl2456913409/,1 hr 40 min
Home Alone 2: Lost in New York,1992,https://www.boxofficemojo.com/release/rl3881403905/,2 hr
Wayne's World,1992,https://www.boxofficemojo.com/release/rl3245966849/,1 hr 34 min
Basic Instinct,1992,https://www.boxofficemojo.com/release/rl3997533697/,2 hr 7 min
A League of Their Own,1992,https://www.boxofficemojo.com/release/rl3529475585/,2 hr 8 min
Aladdin,1992,https://www.boxofficemojo.com/release/rl4148200961/,1 hr 30 min
The Hand That Rocks the Cradle,1992,https://www.boxofficemojo.com/release/rl777422337/,1 hr 50 min
Under Siege,1992,https://www.boxofficemojo.com/release/rl4185294337/,1 hr 43 min
Patriot Games,1992,https://www.boxofficemojo.com/release/rl3479799297/,1 hr 57 min
Bram Stoker's Dracula,1992,https://www.boxofficemojo.com/release/rl1582204417/,2 hr 8 min
The Bodyguard,1992,https://www.boxofficemojo.com/release/rl1967556097/,2 hr 9 min
White Men Can't Jump,1992,https://www.boxofficemojo.com/release/rl477857281/,1 hr 55 min
Fried Green Tomatoes,1992,https://www.boxofficemojo.com/release/rl1045792257/,2 hr 10 min
