Name,BO_Year,BOMojoFilmURL,Duration
Click,2006,https://www.boxofficemojo.com/release/rl541754881/,1 hr 47 min
Mission: Impossible III,2006,https://www.boxofficemojo.com/release/rl1348634113/,2 hr 6 min
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://www.boxofficemojo.com/release/rl2990966273/,1 hr 24 min
The Devil Wears Prada,2006,https://www.boxofficemojo.com/release/rl1481606657/,1 hr 49 min
The Departed,2006,https://www.boxofficemojo.com/release/rl508528129/,2 hr 31 min
The Break-Up,2006,https://www.boxofficemojo.com/release/rl894010881/,1 hr 46 min
Night at the Museum,2006,https://www.boxofficemojo.com/release/rl2103936513/,1 hr 48 min
The Pursuit of Happyness,2006,https://www.boxofficemojo.com/release/rl1349158401/,1 hr 57 min
Scary Movie 4,2006,https://www.boxofficemojo.com/release/rl4084172289/,1 hr 23 min
Failure to Launch,2006,https://www.boxofficemojo.com/release/rl2421196289/,1 hr 37 min
Spider-Man 3,2007,https://www.boxofficemojo.com/release/rl913540609/,2 hr 19 min
Shrek the Third,2007,https://www.boxofficemojo.com/release/rl40994305/,1 hr 33 min
Transformers,2007,https://www.boxofficemojo.com/release/rl3010954753/,2 hr 24 min
Pirates of the Caribbean: At World's End,2007,https://www.boxofficemojo.com/release/rl4100490753/,2 hr 49 min
Harry Potter and the Order of the Phoenix,2007,https://www.boxofficemojo.com/release/rl1215006209/,2 hr 18 min
The Bourne Ultimatum,2007,https://www.boxofficemojo.com/release/rl2504427009/,1 hr 55 min
300,2007,https://www.boxofficemojo.com/release/rl3191965185/,1 hr 57 min
Ratatouille,2007,https://www.boxofficemojo.com/release/rl846038529/,1 hr 51 min
I Am Legend,2007,https://www.boxofficemojo.com/release/rl3394799105/,1 hr 41 min
The Simpsons Movie,2007,https://www.boxofficemojo.com/release/rl3195110913/,1 hr 27 min
Wild Hogs,2007,https://www.boxofficemojo.com/release/rl1098614273/,1 hr 40 min
Knocked Up,2007,https://www.boxofficemojo.com/release/rl4183590401/,2 hr 9 min
Alvin and the Chipmunks,2007,https://www.boxofficemojo.com/release/rl1799587329/,1 hr 32 min
Rush Hour 3,2007,https://www.boxofficemojo.com/release/rl560956929/,1 hr 31 min
Night at the Museum,2007,https://www.boxofficemojo.com/release/rl2103936513/,1 hr 48 min
Live Free or Die Hard,2007,https://www.boxofficemojo.com/release/rl3025110529/,2 hr 8 min
National Treasure: Book of Secrets,2007,https://www.boxofficemojo.com/release/rl2338620929/,2 hr 4 min
Fantastic 4: Rise of the Silver Surfer,2007,https://www.boxofficemojo.com/release/rl3679487489/,1 hr 32 min
American Gangster,2007,https://www.boxofficemojo.com/release/rl1195607553/,2 hr 37 min
Bee Movie,2007,https://www.boxofficemojo.com/release/rl1984202241/,1 hr 31 min
The Dark Knight,2008,https://www.boxofficemojo.com/release/rl3729098241/,2 hr 32 min
Iron Man,2008,https://www.boxofficemojo.com/release/rl1482327553/,2 hr 6 min
Indiana Jones and the Kingdom of the Crystal Skull,2008,https://www.boxofficemojo.com/release/rl2321253889/,2 hr 2 min
Hancock,2008,https://www.boxofficemojo.com/release/rl746030593/,1 hr 32 min
WALLÂ·E,2008,https://www.boxofficemojo.com/release/rl3615065601/,1 hr 38 min
Kung Fu Panda,2008,https://www.boxofficemojo.com/release/rl3562833409/,1 hr 32 min
Madagascar: Escape 2 Africa,2008,https://www.boxofficemojo.com/release/rl1382057473/,1 hr 29 min
Twilight,2008,https://www.boxofficemojo.com/release/rl58099201/,2 hr 2 min
Quantum of Solace,2008,https://www.boxofficemojo.com/release/rl3445261825/,1 hr 46 min
Horton Hears a Who!,2008,https://www.boxofficemojo.com/release/rl509117953/,1 hr 26 min
Sex and the City,2008,https://www.boxofficemojo.com/release/rl3211691521/,2 hr 25 min
Mamma Mia!,2008,https://www.boxofficemojo.com/release/rl3697313281/,1 hr 48 min
The Chronicles of Narnia: Prince Caspian,2008,https://www.boxofficemojo.com/release/rl2640610817/,2 hr 30 min
The Incredible Hulk,2008,https://www.boxofficemojo.com/release/rl2791015937/,1 hr 52 min
Wanted,2008,https://www.boxofficemojo.com/release/rl3329852929/,1 hr 50 min
Get Smart,2008,https://www.boxofficemojo.com/release/rl3914696193/,1 hr 50 min
Juno,2008,https://www.boxofficemojo.com/release/rl2539488769/,1 hr 36 min
Four Christmases,2008,https://www.boxofficemojo.com/release/rl2689762817/,1 hr 28 min
Tropic Thunder,2008,https://www.boxofficemojo.com/release/rl3782706689/,1 hr 47 min
Bolt,2008,https://www.boxofficemojo.com/release/rl1531348481/,1 hr 36 min
Transformers: Revenge of the Fallen,2009,https://www.boxofficemojo.com/release/rl3027731969/,2 hr 29 min
Harry Potter and the Half-Blood Prince,2009,https://www.boxofficemojo.com/release/rl1231783425/,2 hr 33 min
Up,2009,https://www.boxofficemojo.com/release/rl3245770241/,1 hr 36 min
The Twilight Saga: New Moon,2009,https://www.boxofficemojo.com/release/rl3479471617/,2 hr 10 min
Avatar,2009,https://www.boxofficemojo.com/release/rl876971521/,2 hr 42 min
The Hangover,2009,https://www.boxofficemojo.com/release/rl643204609/,1 hr 40 min
Star Trek,2009,https://www.boxofficemojo.com/release/rl2876474881/,2 hr 7 min
Monsters vs. Aliens,2009,https://www.boxofficemojo.com/release/rl224757249/,1 hr 34 min
Ice Age: Dawn of the Dinosaurs,2009,https://www.boxofficemojo.com/release/rl3310913025/,1 hr 34 min
The Blind Side,2009,https://www.boxofficemojo.com/release/rl3796338177/,2 hr 9 min
X-Men Origins: Wolverine,2009,https://www.boxofficemojo.com/release/rl3262875137/,1 hr 47 min
Night at the Museum: Battle of the Smithsonian,2009,https://www.boxofficemojo.com/release/rl2070382081/,1 hr 45 min
The Proposal,2009,https://www.boxofficemojo.com/release/rl577406465/,1 hr 48 min
2012,2009,https://www.boxofficemojo.com/release/rl1833010689/,2 hr 38 min
Fast & Furious,2009,https://www.boxofficemojo.com/release/rl693339649/,1 hr 47 min
G.I. Joe: The Rise of Cobra,2009,https://www.boxofficemojo.com/release/rl1062503937/,1 hr 58 min
Paul Blart: Mall Cop,2009,https://www.boxofficemojo.com/release/rl4016080385/,1 hr 31 min
Taken,2009,https://www.boxofficemojo.com/release/rl1635091969/,1 hr 30 min
Gran Torino,2009,https://www.boxofficemojo.com/release/rl240616961/,1 hr 56 min
A Christmas Carol,2009,https://www.boxofficemojo.com/release/rl2605417985/,1 hr 36 min
Avatar,2010,https://www.boxofficemojo.com/release/rl876971521/,2 hr 42 min
Toy Story 3,2010,https://www.boxofficemojo.com/release/rl1383564801/,1 hr 43 min
Alice in Wonderland,2010,https://www.boxofficemojo.com/release/rl3393226241/,1 hr 48 min
Iron Man 2,2010,https://www.boxofficemojo.com/release/rl1515881985/,2 hr 4 min
The Twilight Saga: Eclipse,2010,https://www.boxofficemojo.com/release/rl659654145/,2 hr 4 min
Inception,2010,https://www.boxofficemojo.com/release/rl2908456449/,2 hr 28 min
Harry Potter and the Deathly Hallows: Part 1,2010,https://www.boxofficemojo.com/release/rl1248560641/,2 hr 26 min
Despicable Me,2010,https://www.boxofficemojo.com/release/rl2018477569/,1 hr 35 min
Shrek Forever After,2010,https://www.boxofficemojo.com/release/rl57771521/,1 hr 33 min
How to Train Your Dragon,2010,https://www.boxofficemojo.com/release/rl2908259841/,1 hr 38 min
The Karate Kid,2010,https://www.boxofficemojo.com/release/rl3361572353/,2 hr 20 min
Clash of the Titans,2010,https://www.boxofficemojo.com/release/rl961185281/,1 hr 46 min
Grown Ups,2010,https://www.boxofficemojo.com/release/rl1466926593/,1 hr 42 min
Tangled,2010,https://www.boxofficemojo.com/release/rl980256257/,1 hr 40 min
Megamind,2010,https://www.boxofficemojo.com/release/rl2455995905/,1 hr 35 min
The Last Airbender,2010,https://www.boxofficemojo.com/release/rl1516209665/,1 hr 43 min
Shutter Island,2010,https://www.boxofficemojo.com/release/rl2020705793/,2 hr 18 min
The Other Guys,2010,https://www.boxofficemojo.com/release/rl1783858689/,1 hr 47 min
Salt,2010,https://www.boxofficemojo.com/release/rl1651475969/,1 hr 40 min
TRON: Legacy,2010,https://www.boxofficemojo.com/release/rl4000810497/,2 hr 5 min
Harry Potter and the Deathly Hallows: Part 2,2011,https://www.boxofficemojo.com/release/rl1265337857/,2 hr 10 min
Transformers: Dark of the Moon,2011,https://www.boxofficemojo.com/release/rl2977400321/,2 hr 34 min
The Twilight Saga: Breaking Dawn - Part 1,2011,https://www.boxofficemojo.com/release/rl3292956161/,1 hr 57 min
The Hangover Part II,2011,https://www.boxofficemojo.com/release/rl408323585/,1 hr 42 min
Pirates of the Caribbean: On Stranger Tides,2011,https://www.boxofficemojo.com/release/rl4117267969/,2 hr 17 min
Fast Five,2011,https://www.boxofficemojo.com/release/rl877889025/,2 hr 10 min
Cars 2,2011,https://www.boxofficemojo.com/release/rl3091760641/,1 hr 46 min
Thor,2011,https://www.boxofficemojo.com/release/rl3094644225/,1 hr 55 min
Rise of the Planet of the Apes,2011,https://www.boxofficemojo.com/release/rl225216001/,1 hr 45 min
Captain America: The First Avenger,2011,https://www.boxofficemojo.com/release/rl1900578305/,2 hr 4 min
The Help,2011,https://www.boxofficemojo.com/release/rl626624001/,2 hr 26 min
Bridesmaids,2011,https://www.boxofficemojo.com/release/rl2000848385/,2 hr 5 min
Kung Fu Panda 2,2011,https://www.boxofficemojo.com/release/rl3579610625/,1 hr 30 min
X-Men: First Class,2011,https://www.boxofficemojo.com/release/rl1434093057/,2 hr 11 min
Puss in Boots,2011,https://www.boxofficemojo.com/release/rl1214940673/,1 hr 30 min
Rio,2011,https://www.boxofficemojo.com/release/rl292324865/,1 hr 36 min
The Smurfs,2011,https://www.boxofficemojo.com/release/rl292587009/,1 hr 43 min
Super 8,2011,https://www.boxofficemojo.com/release/rl2255652353/,1 hr 52 min
Sherlock Holmes: A Game of Shadows,2011,https://www.boxofficemojo.com/release/rl3614344705/,2 hr 9 min
Rango,2011,https://www.boxofficemojo.com/release/rl3479864833/,1 hr 47 min
The Avengers,2012,https://www.boxofficemojo.com/release/rl709199361/,2 hr 23 min
The Dark Knight Rises,2012,https://www.boxofficemojo.com/release/rl3745875457/,2 hr 44 min
The Hunger Games,2012,https://www.boxofficemojo.com/release/rl4049110529/,2 hr 22 min
Skyfall,2012,https://www.boxofficemojo.com/release/rl1346799105/,2 hr 23 min
The Twilight Saga: Breaking Dawn - Part 2,2012,https://www.boxofficemojo.com/release/rl3276178945/,1 hr 55 min
The Amazing Spider-Man,2012,https://www.boxofficemojo.com/release/rl930317825/,2 hr 16 min
Brave,2012,https://www.boxofficemojo.com/release/rl910460417/,1 hr 33 min
The Hobbit: An Unexpected Journey,2012,https://www.boxofficemojo.com/release/rl2321122817/,2 hr 49 min
Ted,2012,https://www.boxofficemojo.com/release/rl2255848961/,1 hr 46 min
Madagascar 3: Europe's Most Wanted,2012,https://www.boxofficemojo.com/release/rl1415611905/,1 hr 35 min
The Lorax,2012,https://www.boxofficemojo.com/release/rl2858518017/,1 hr 26 min
Men in Black 3,2012,https://www.boxofficemojo.com/release/rl1298302465/,1 hr 46 min
Wreck-It Ralph,2012,https://www.boxofficemojo.com/release/rl242058753/,1 hr 41 min
Ice Age: Continental Drift,2012,https://www.boxofficemojo.com/release/rl3327690241/,1 hr 28 min
Snow White and the Huntsman,2012,https://www.boxofficemojo.com/release/rl2054194689/,2 hr 7 min
Hotel Transylvania,2012,https://www.boxofficemojo.com/release/rl5801473/,1 hr 31 min
Taken 2,2012,https://www.boxofficemojo.com/release/rl1651869185/,1 hr 32 min
21 Jump Street,2012,https://www.boxofficemojo.com/release/rl1564575233/,1 hr 49 min
Lincoln,2012,https://www.boxofficemojo.com/release/rl3814622721/,2 hr 30 min
Prometheus,2012,https://www.boxofficemojo.com/release/rl1063945729/,2 hr 4 min
Iron Man 3,2013,https://www.boxofficemojo.com/release/rl1532659201/,2 hr 10 min
The Hunger Games: Catching Fire,2013,https://www.boxofficemojo.com/release/rl2638775809/,2 hr 26 min
Despicable Me 2,2013,https://www.boxofficemojo.com/release/rl105874945/,1 hr 38 min
Man of Steel,2013,https://www.boxofficemojo.com/release/rl4034037249/,2 hr 23 min
Monsters University,2013,https://www.boxofficemojo.com/release/rl1919256065/,1 hr 44 min
Frozen,2013,https://www.boxofficemojo.com/release/rl357926401/,1 hr 42 min
Gravity,2013,https://www.boxofficemojo.com/release/rl89622017/,1 hr 31 min
Fast & Furious 6,2013,https://www.boxofficemojo.com/release/rl1028883969/,2 hr 10 min
Oz The Great and Powerful,2013,https://www.boxofficemojo.com/release/rl1567196673/,2 hr 10 min
Star Trek Into Darkness,2013,https://www.boxofficemojo.com/release/rl2893252097/,2 hr 12 min
Thor: The Dark World,2013,https://www.boxofficemojo.com/release/rl3111421441/,1 hr 52 min
World War Z,2013,https://www.boxofficemojo.com/release/rl2038072833/,1 hr 56 min
The Hobbit: The Desolation of Smaug,2013,https://www.boxofficemojo.com/release/rl2337900033/,2 hr 41 min
The Croods,2013,https://www.boxofficemojo.com/release/rl3192751617/,1 hr 38 min
The Heat,2013,https://www.boxofficemojo.com/release/rl2185856513/,1 hr 57 min
We're the Millers,2013,https://www.boxofficemojo.com/release/rl2558035457/,1 hr 50 min
The Great Gatsby,2013,https://www.boxofficemojo.com/release/rl2706736641/,2 hr 23 min
The Conjuring,2013,https://www.boxofficemojo.com/release/rl3830089217/,1 hr 52 min
Identity Thief,2013,https://www.boxofficemojo.com/release/rl777750017/,1 hr 51 min
Grown Ups 2,2013,https://www.boxofficemojo.com/release/rl2589427201/,1 hr 41 min
Guardians of the Galaxy,2014,https://www.boxofficemojo.com/release/rl3177416193/,2 hr 1 min
The Hunger Games: Mockingjay - Part 1,2014,https://www.boxofficemojo.com/release/rl4283991553/,2 hr 3 min
Captain America: The Winter Soldier,2014,https://www.boxofficemojo.com/release/rl3194193409/,2 hr 16 min
The Lego Movie,2014,https://www.boxofficemojo.com/release/rl643728897/,1 hr 40 min
Transformers: Age of Extinction,2014,https://www.boxofficemojo.com/release/rl2960623105/,2 hr 45 min
Maleficent,2014,https://www.boxofficemojo.com/release/rl3915417089/,1 hr 37 min
X-Men: Days of Future Past,2014,https://www.boxofficemojo.com/release/rl1400538625/,2 hr 12 min
Dawn of the Planet of the Apes,2014,https://www.boxofficemojo.com/release/rl1649182209/,2 hr 10 min
Big Hero 6,2014,https://www.boxofficemojo.com/release/rl4283401729/,1 hr 42 min
The Amazing Spider-Man 2,2014,https://www.boxofficemojo.com/release/rl846431745/,2 hr 22 min
Godzilla,2014,https://www.boxofficemojo.com/release/rl3193210369/,2 hr 3 min
22 Jump Street,2014,https://www.boxofficemojo.com/release/rl1581352449/,1 hr 52 min
Teenage Mutant Ninja Turtles,2014,https://www.boxofficemojo.com/release/rl3514074625/,1 hr 41 min
The Hobbit: The Battle of the Five Armies,2014,https://www.boxofficemojo.com/release/rl2354677249/,2 hr 24 min
Interstellar,2014,https://www.boxofficemojo.com/release/rl744130049/,2 hr 49 min
How to Train Your Dragon 2,2014,https://www.boxofficemojo.com/release/rl2589492737/,1 hr 42 min
Gone Girl,2014,https://www.boxofficemojo.com/release/rl2186577409/,2 hr 29 min
Divergent,2014,https://www.boxofficemojo.com/release/rl3763308033/,2 hr 19 min
Neighbors,2014,https://www.boxofficemojo.com/release/rl1719109121/,1 hr 37 min
Frozen,2014,https://www.boxofficemojo.com/release/rl357926401/,1 hr 42 min
Jurassic World,2015,https://www.boxofficemojo.com/release/rl2371716609/,2 hr 4 min
Star Wars: Episode VII - The Force Awakens,2015,https://www.boxofficemojo.com/release/rl2691925505/,2 hr 18 min
Avengers: Age of Ultron,2015,https://www.boxofficemojo.com/release/rl675644929/,2 hr 21 min
Inside Out,2015,https://www.boxofficemojo.com/release/rl4016604673/,1 hr 35 min
Furious 7,2015,https://www.boxofficemojo.com/release/rl1045661185/,2 hr 17 min
American Sniper,2015,https://www.boxofficemojo.com/release/rl2923660801/,2 hr 13 min
Minions,2015,https://www.boxofficemojo.com/release/rl2271380993/,1 hr 31 min
The Hunger Games: Mockingjay - Part 2,2015,https://www.boxofficemojo.com/release/rl4032333313/,2 hr 17 min
The Martian,2015,https://www.boxofficemojo.com/release/rl3496969729/,2 hr 24 min
Cinderella,2015,https://www.boxofficemojo.com/release/rl4165699073/,1 hr 45 min
Spectre,2015,https://www.boxofficemojo.com/release/rl1363576321/,2 hr 28 min
Mission: Impossible - Rogue Nation,2015,https://www.boxofficemojo.com/release/rl1382188545/,2 hr 11 min
Pitch Perfect 2,2015,https://www.boxofficemojo.com/release/rl3932718593/,1 hr 55 min
Ant-Man,2015,https://www.boxofficemojo.com/release/rl88245761/,1 hr 57 min
Home,2015,https://www.boxofficemojo.com/release/rl1968604673/,1 hr 34 min
Hotel Transylvania 2,2015,https://www.boxofficemojo.com/release/rl257459713/,1 hr 29 min
Fifty Shades of Grey,2015,https://www.boxofficemojo.com/release/rl3980494337/,2 hr 5 min
The SpongeBob Movie: Sponge Out of Water,2015,https://www.boxofficemojo.com/release/rl158565889/,1 hr 32 min
Straight Outta Compton,2015,https://www.boxofficemojo.com/release/rl292718081/,2 hr 27 min
San Andreas,2015,https://www.boxofficemojo.com/release/rl1433372161/,1 hr 54 min
Finding Dory,2016,https://www.boxofficemojo.com/release/rl3764946433/,1 hr 37 min
Rogue One: A Star Wars Story,2016,https://www.boxofficemojo.com/release/rl2557707777/,2 hr 13 min
Captain America: Civil War,2016,https://www.boxofficemojo.com/release/rl3210970625/,2 hr 27 min
The Secret Life of Pets,2016,https://www.boxofficemojo.com/release/rl2069595649/,1 hr 27 min
The Jungle Book,2016,https://www.boxofficemojo.com/release/rl2455602689/,1 hr 46 min
Deadpool,2016,https://www.boxofficemojo.com/release/rl2588706305/,1 hr 48 min
Zootopia,2016,https://www.boxofficemojo.com/release/rl4031743489/,1 hr 48 min
Batman v Superman: Dawn of Justice,2016,https://www.boxofficemojo.com/release/rl2238875137/,2 hr 32 min
Suicide Squad,2016,https://www.boxofficemojo.com/release/rl1145865729/,2 hr 3 min
Star Wars: Episode VII - The Force Awakens,2016,https://www.boxofficemojo.com/release/rl2691925505/,2 hr 18 min
Doctor Strange,2016,https://www.boxofficemojo.com/release/rl3076752897/,1 hr 55 min
Fantastic Beasts and Where to Find Them,2016,https://www.boxofficemojo.com/release/rl3696264705/,2 hr 12 min
Moana,2016,https://www.boxofficemojo.com/release/rl4249847297/,1 hr 47 min
The Revenant,2016,https://www.boxofficemojo.com/release/rl3698165249/,2 hr 36 min
Jason Bourne,2016,https://www.boxofficemojo.com/release/rl2537981441/,2 hr 3 min
Star Trek Beyond,2016,https://www.boxofficemojo.com/release/rl2960360961/,2 hr 2 min
X-Men: Apocalypse,2016,https://www.boxofficemojo.com/release/rl1417315841/,2 hr 24 min
Sing,2016,https://www.boxofficemojo.com/release/rl2103150081/,1 hr 48 min
Trolls,2016,https://www.boxofficemojo.com/release/rl3967256065/,1 hr 32 min
Kung Fu Panda 3,2016,https://www.boxofficemojo.com/release/rl3546056193/,1 hr 35 min
Star Wars: Episode VIII - The Last Jedi,2017,https://www.boxofficemojo.com/release/rl2708702721/,2 hr 32 min
Beauty and the Beast,2017,https://www.boxofficemojo.com/release/rl222594561/,2 hr 9 min
Wonder Woman,2017,https://www.boxofficemojo.com/release/rl578455041/,2 hr 21 min
Guardians of the Galaxy Vol. 2,2017,https://www.boxofficemojo.com/release/rl2976089601/,2 hr 16 min
Spider-Man: Homecoming,2017,https://www.boxofficemojo.com/release/rl863208961/,2 hr 13 min
It,2017,https://www.boxofficemojo.com/release/rl3481241089/,2 hr 15 min
Thor: Ragnarok,2017,https://www.boxofficemojo.com/release/rl2959312385/,2 hr 10 min
Despicable Me 3,2017,https://www.boxofficemojo.com/release/rl122652161/,1 hr 29 min
Logan,2017,https://www.boxofficemojo.com/release/rl3229320705/,2 hr 17 min
The Fate of the Furious,2017,https://www.boxofficemojo.com/release/rl1767212545/,2 hr 16 min
Justice League,2017,https://www.boxofficemojo.com/release/rl1129088513/,2 hr
Dunkirk,2017,https://www.boxofficemojo.com/release/rl4118644225/,1 hr 46 min
Coco,2017,https://www.boxofficemojo.com/release/rl3983050241/,1 hr 45 min
The Lego Batman Movie,2017,https://www.boxofficemojo.com/release/rl660506113/,1 hr 44 min
Get Out,2017,https://www.boxofficemojo.com/release/rl256280065/,1 hr 44 min
The Boss Baby,2017,https://www.boxofficemojo.com/release/rl2789639681/,1 hr 37 min
Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://www.boxofficemojo.com/release/rl1382778369/,2 hr 9 min
Jumanji: Welcome to the Jungle,2017,https://www.boxofficemojo.com/release/rl3095234049/,1 hr 59 min
Kong: Skull Island,2017,https://www.boxofficemojo.com/release/rl710837761/,1 hr 58 min
Hidden Figures,2017,https://www.boxofficemojo.com/release/rl3749545473/,2 hr 7 min
Black Panther,2018,https://www.boxofficemojo.com/release/rl2992866817/,2 hr 14 min
Avengers: Infinity War,2018,https://www.boxofficemojo.com/release/rl3043198465/,2 hr 29 min
The Incredibles 2,2018,https://www.boxofficemojo.com/release/rl2071758337/,1 hr 58 min
Jurassic World: Fallen Kingdom,2018,https://www.boxofficemojo.com/release/rl1602061825/,2 hr 8 min
Deadpool 2,2018,https://www.boxofficemojo.com/release/rl2488436225/,1 hr 59 min
Dr. Seuss' the Grinch,2018,https://www.boxofficemojo.com/release/rl3075966465/,1 hr 25 min
Jumanji: Welcome to the Jungle,2018,https://www.boxofficemojo.com/release/rl3095234049/,1 hr 59 min
Mission: Impossible - Fallout,2018,https://www.boxofficemojo.com/release/rl2449573377/,2 hr 27 min
Ant-Man and the Wasp,2018,https://www.boxofficemojo.com/release/rl2088535553/,1 hr 58 min
Solo: A Star Wars Story,2018,https://www.boxofficemojo.com/release/rl1954383361/,2 hr 15 min
Venom,2018,https://www.boxofficemojo.com/release/rl2734720513/,1 hr 52 min
A Star Is Born,2018,https://www.boxofficemojo.com/release/rl2164360705/,2 hr 16 min
Aquaman,2018,https://www.boxofficemojo.com/release/rl3108800001/,2 hr 23 min
Bohemian Rhapsody,2018,https://www.boxofficemojo.com/release/rl3439363585/,2 hr 14 min
A Quiet Place,2018,https://www.boxofficemojo.com/release/rl2399176193/,1 hr 30 min
Ralph Breaks the Internet,2018,https://www.boxofficemojo.com/release/rl2742978049/,1 hr 52 min
Crazy Rich Asians,2018,https://www.boxofficemojo.com/release/rl1157858817/,2 hr
Hotel Transylvania 3: Summer Vacation,2018,https://www.boxofficemojo.com/release/rl3111945729/,1 hr 37 min
Halloween,2018,https://www.boxofficemojo.com/release/rl1342342657/,1 hr 46 min
Fantastic Beasts: The Crimes of Grindelwald,2018,https://www.boxofficemojo.com/release/rl1534625281/,2 hr 14 min
Avengers: Endgame,2019,https://www.boxofficemojo.com/release/rl3059975681/,3 hr 1 min
The Lion King,2019,https://www.boxofficemojo.com/release/rl3321923073/,1 hr 58 min
Toy Story 4,2019,https://www.boxofficemojo.com/release/rl3798500865/,1 hr 40 min
Frozen II,2019,https://www.boxofficemojo.com/release/rl2424210945/,1 hr 43 min
Captain Marvel,2019,https://www.boxofficemojo.com/release/rl3009644033/,2 hr 3 min
Star Wars: The Rise of Skywalker,2019,https://www.boxofficemojo.com/release/rl3305145857/,2 hr 21 min
Spider-Man: Far from Home,2019,https://www.boxofficemojo.com/release/rl3791750657/,2 hr 9 min
Aladdin,2019,https://www.boxofficemojo.com/release/rl3246360065/,2 hr 8 min
Joker,2019,https://www.boxofficemojo.com/release/rl252151297/,2 hr 2 min
It Chapter Two,2019,https://www.boxofficemojo.com/release/rl1107461633/,2 hr 49 min
Jumanji: The Next Level,2019,https://www.boxofficemojo.com/release/rl755467777/,2 hr 3 min
Us,2019,https://www.boxofficemojo.com/release/rl1711506945/,1 hr 56 min
Fast & Furious Presents: Hobbs & Shaw,2019,https://www.boxofficemojo.com/release/rl2919400961/,2 hr 17 min
John Wick: Chapter 3 - Parabellum,2019,https://www.boxofficemojo.com/release/rl1476560385/,2 hr 10 min
How to Train Your Dragon: The Hidden World,2019,https://www.boxofficemojo.com/release/rl2606269953/,1 hr 44 min
The Secret Life of Pets 2,2019,https://www.boxofficemojo.com/release/rl1719436801/,1 hr 26 min
PokÃ©mon Detective Pikachu,2019,https://www.boxofficemojo.com/release/rl17139201/,1 hr 44 min
Once Upon a Time... In Hollywood,2019,https://www.boxofficemojo.com/release/rl520455681/,2 hr 41 min
Shazam!,2019,https://www.boxofficemojo.com/release/rl1196197377/,2 hr 12 min
Aquaman,2019,https://www.boxofficemojo.com/release/rl3108800001/,2 hr 23 min
